SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
2013324N07103,LEHAR,2013,2013-11-18,2013-11-22,2
2014029N10143,KAJIKI,2014,2014-01-30,2014-02-02,1
2014080N08128,UNNAMED,2014,2014-03-21,2014-03-25,2
2014160N21120,MITAG,2014,2014-06-08,2014-06-11,2
2014164N19116,HAGIBIS,2014,2014-06-12,2014-06-17,4
2014190N08154,RAMMASUN,2014,2014-07-14,2014-07-21,6
2014197N10137,MATMO,2014,2014-07-20,2014-07-24,2
2014231N21117,UNNAMED,2014,2014-08-17,2014-08-20,1
2014249N14118,UNNAMED,2014,2014-09-04,2014-09-09,3
2014254N10142,KALMAEGI,2014,2014-09-13,2014-09-18,4
2014260N13135,FUNG-WONG,2014,2014-09-17,2014-09-22,3
2014329N08131,SINLAKU,2014,2014-11-25,2014-12-01,4
2014334N02156,HAGUPIT,2014,2014-12-05,2014-12-13,6
2014362N07130,JANGMI,2014,2014-12-28,2015-01-02,4
2015012N09146,MEKKHALA,2015,2015-01-16,2015-01-21,3
2015069N04173,BAVI,2015,2015-03-19,2015-03-22,1
2015085N06162,MAYSAK,2015,2015-04-03,2015-04-08,3
2015122N07144,NOUL,2015,2015-05-08,2015-05-12,3
2015171N15112,KUJIRA,2015,2015-06-18,2015-06-26,6
2015183N13130,LINFA,2015,2015-07-02,2015-07-11,7
2015203N16126,UNNAMED,2015,2015-07-21,2015-07-25,3
2015211N13162,SOUDELOR,2015,2015-08-06,2015-08-09,2
2015226N12151,GONI,2015,2015-08-19,2015-08-24,4
2015256N16113,VAMCO,2015,2015-09-12,2015-09-16,3
2015263N14148,DUJUAN,2015,2015-09-26,2015-09-30,2
2015273N12130,MUJIGAE,2015,2015-09-30,2015-10-06,5
2015285N14151,KOPPU,2015,2015-10-15,2015-10-22,5
2015344N07145,MELOR,2015,2015-12-13,2015-12-18,3
2015348N04146,UNNAMED,2015,2015-12-18,2015-12-20,1
2016147N18115,UNNAMED,2016,2016-05-25,2016-05-29,3
2016185N08145,NEPARTAK,2016,2016-07-05,2016-07-10,3
2016207N17116,MIRINAE,2016,2016-07-24,2016-07-29,4
2016211N11128,NIDA,2016,2016-07-29,2016-08-04,4
2016228N22117,DIANMU,2016,2016-08-14,2016-08-21,5
2016244N21123,NAMTHEUN,2016,2016-08-29,2016-09-01,1
2016250N25125,MALOU,2016,2016-09-04,2016-09-06,1
2016255N12114,RAI,2016,2016-09-10,2016-09-15,4
2016253N13144,MERANTI,2016,2016-09-12,2016-09-15,2
2016256N12146,MALAKAS,2016,2016-09-15,2016-09-18,2
2016265N10150,MEGI,2016,2016-09-25,2016-09-29,2
2016279N19130,AERE,2016,2016-10-04,2016-10-15,10
2016287N12131,SARIKA,2016,2016-10-13,2016-10-21,6
2016288N06146,HAIMA,2016,2016-10-18,2016-10-22,3
2016328N09130,TOKAGE,2016,2016-11-23,2016-11-29,4
2016347N10110,UNNAMED,2016,2016-12-11,2016-12-14,1
2016355N07146,NOCK-TEN,2016,2016-12-24,2016-12-29,4
2017008N08128,UNNAMED,2017,2017-01-07,2017-01-17,8
2017104N11130,UNNAMED,2017,2017-04-14,2017-04-21,5
2017161N13119,MERBOK,2017,2017-06-09,2017-06-14,4
2017182N15132,NANMADOL,2017,2017-07-01,2017-07-03,1
2017195N16114,TALAS,2017,2017-07-13,2017-07-18,4
2017202N16116,SONCA,2017,2017-07-19,2017-07-30,10
